ticker,price,market_cap,pe,dividend_yield,profit_margin,revenue_growth,roe,beta
BF-B,26.25,12045187072.0,17.156862,3.51,0.18202999,0.02,0.17846,0.344
BLDR,73.51,7906726400.0,28.057255,,0.01967,-0.101,0.06958,1.418
BG,117.4,22777726976.0,30.102564,2.52,0.00848,0.878,0.04933,0.639
BXP,67.04,11953997824.0,33.52,4.19,0.10042,0.006,0.05525,1.039
CHRW,196.5,23162052608.0,39.221554,1.3,0.03698,-0.008,0.34838,0.915
CDNS,377.92,104236384256.0,87.888374,,0.21180001,0.187,0.20656,1.148
CPT,114.19,11315154944.0,31.8078,3.75,0.24486999,-0.005,0.09064999,0.798
COF,203.02,125064273920.0,62.467693,1.58,0.08876,0.463,0.03259,1.022
CAH,233.66,54724542464.0,35.618904,0.88,0.0062,0.11,,0.493
CCL,26.61,36446363648.0,11.986486,1.69,0.11237001,0.053,0.26689,2.322
CARR,68.61,56986124288.0,45.74,1.38,0.059899997,0.024,0.09907,1.309
CVNA,64.99,71283351552.0,37.56647,,0.06398,0.52,0.60172004,3.462
CASY,859.1,31790919680.0,44.838203,0.29,0.04068,0.145,0.19153,0.619
CAT,931.47,429027590144.0,46.295723,0.7,0.13328,0.222,0.51331,1.565
CBOE,277.13,29002702848.0,23.666098,1.07,0.25774,0.065,0.2514,0.443
CBRE,138.03,40417472512.0,31.513697,,0.031089999,0.186,0.15597,1.205
CDW,144.355,18441848832.0,17.582825,1.75,0.047030002,0.092,0.44157,0.962
COR,306.13,59560976384.0,23.476227,0.78,0.00775,0.038,1.0713401,0.581
CNC,68.29,33721397248.0,,,-0.03613,0.051,-0.26044,1.077
CNP,44.13,28868499456.0,27.07362,2.11,0.11379,0.019,0.09561,0.454
CF,120.92,18576852992.0,10.893693,2.05,0.23733999,0.194,0.273,0.39
CRL,229.75,11066535936.0,,,-0.04585,0.012,-0.0587,1.399
SCHW,102.38,178052694016.0,20.353876,1.25,0.37986,0.158,0.19083,0.762
CHTR,131.37,20582836224.0,3.5553448,,0.09029,-0.01,0.27504998,0.704
CVX,182.2,362869096448.0,31.797556,3.91,0.059270002,0.023,0.06638,0.488
CMG,36.63,46986547200.0,32.41593,,0.119619995,0.074,0.49231997,0.964
CB,354.74,137589489664.0,12.548284,1.17,0.18527001,0.102,0.15433,0.406
CHD,97.16,23021441024.0,31.751637,1.28,0.11812,0.002,0.16779,0.467
CIEN,445.44,63053336576.0,153.59999,,0.0787,0.395,0.15464,1.274
CI,304.5,80550117376.0,12.902542,2.13,0.02263,0.046,0.16268998,0.303
CINF,182.67,28256626688.0,10.444254,2.06,0.21326,0.116,0.18735,0.553
CTAS,183.75,73525157888.0,38.765823,0.98,0.17568001,0.089,0.41303003,0.933
CSCO,119.25,470016065536.0,39.75,1.38,0.19685,0.12,0.25229,1.007
C,140.71,239991750656.0,17.393078,1.71,0.20356001,0.159,0.07649,1.094
CFG,70.36,29753974784.0,16.672987,2.62,0.25048,0.138,0.07739,0.998
CLX,95.05,11493574656.0,15.455285,5.22,0.111829996,0.001,5.46099,0.531
CME,245.1,88560205824.0,20.91297,2.12,0.63324,0.144,0.15919,0.276
CMS,75.75,23400660992.0,20.98338,3.02,0.12548,0.116,0.103719994,0.342
KO,84.25,362484137984.0,26.49371,2.52,0.278,0.121,0.43372002,0.349
CTSH,44.16,20887678976.0,9.579175,2.99,0.10413,0.058,0.14876,0.859
COHR,307.39,60137574400.0,153.695,,0.07102,0.205,0.04718,2.037
